;Author;Date;Rating;Helpful count;Review
1;Tiffany Choi;16/06/18;5;4;This cozy restaurant seats about 35 guests, is brightly-lit, and has a moderate noise level. Sansotei hasn't had its grand opening yet, but the servers are very well-trained, and the operations seem to run smoothly. It was organized, with a waitlist for tables, and accurate estimates of the wait time. We received our food soon after ordering, and it was delicious!
2;michael Bui;20/06/18;5;4;For Mississauga, this is the best you'll get and closest to the real deal. The staff was extremely generous and welcoming. I had ordered the Tonkotsu Black which was extremely rich in flavour but not overly shadowed by salt (which most ramen shops mistakenly do most of the time).   The pork is extremely tender and the yolk of the eggs are always exactly what you'd expect....runny and delicious.
3;Lauren Bourque;21/06/18;5;0;Great Tonkotsu, a good rival for Kenzo for top Mississauga shop (not that we have alot of ramen places outside of toronto yet.) can't wait to try their Gyoza and Gyudon to
4;Anthony Luo;21/06/18;3;0;The soup was a bit saltier than we had expected. Will probably come back after things have settled down and they have their official grand opening.
5;Jessica Chan;22/06/18;5;2;Very nice decor with parking lot in front (Entrance no. 9). Great value too! One of my favourite ramen restaurants.
6;Terry Wright;22/06/18;5;1;This place is so good for ramen. Owned by 2 friendly brothers, great service, hot fresh noodles, excellent flavor. Really impressed with the menu choices, interior styling is so cool too! I'll definitely be coming here whenever I'm at the mall. Thanks for the amazing experience!
7;Jen Ho;24/06/18;4;0;I had the Tonkotsu ramen and my buddy had the shrimp one.  The shrimp takes an extra 10 to 15 minutes to cook the shrimp (??? shrimp cooks fast but ok). It's a very small place, so be prepared to wait.  We put our name down and came back 40 minutes later (initially told 30) and were relieved to find out our table didn't come up yet. Service is good and they all said bye to us on the way out (thumbs up)
8;Swonlis W;25/06/18;4;0;Ramen was good, service was good, but the broth was too salty.
9;Curtis Li;25/06/18;2;3;Good service, but the broth was quite salty, and the meat had a weird taste, I’m not sure if that’s the style of the restaurant, but I’m not really a fan.
11;T H;26/06/18;1;3;Went with a friend and there was no line up which was nice. As we entered, one of the staff said to give her a minute and she’ll get to us. So we stood there waiting as 3 of them were at the counter sorting through whatever they needed to sort out which was fine. After a few mins a couple came in after us and walked by us to the counter and asked for 2 seats. The same girl who told us to wait, wrote down their names and still didn’t address us. After another 5 mins we finally got approached for our names and then they seated the couple, who came after us, first as we continued to wait to be seated. That’s a big strike one in my books. It’s not like they were extremely busy and there were 4 tables for 2 cleaned and available. I’ve been to the downtown Toronto location many times and it's probably one of the best ramen shops I’ve been to in Canada. The ramen at this location did not meet the same expectation. We ordered the Miso Black and the noodles and cha-shu were sub par. The kitchen looked crowded with 5 people working but was not efficient. The person boiling the noodles looked like a high school student. I think the place just needs some time before they get into the right pace and rhythm but as it is now, there are much better options for good food in that area and in that price range.
12;M J;26/06/18;3;0;"Service was good overall but it was extremely difficult to get a table. To be fair we didn't make a reservation but their estimate of the wait time was under by maybe 15 minutes so prepare to wait, I'd say, even with a reservation because they can only accommodate so many people. Small selection of ramen but I guess that's what you expect at a ramen place. Since they just opened they don't have their liquor license yet so no alcohol (as of 23rd of June anyways). Unlike the sansotei at dundas and yonge they don't offer different broths unfortunately and I found the broth to be just a tad overseasoned as most ramen broths tend to be. We also got the gyoza which was to be honest the lowest part of the meal; it wasn't that good. Given that it's relatively new the whole feel was nice: new chairs, new tables, new bowls and utensils, but that's just me and it's not like people haven't touched what I was using or the seat I was sitting in... I guess it's psychological."
13;Ryan Cane;27/06/18;5;2;Great service and nice looking place. Very generous serving of authentic Japanese ramen. Delicious and attractive plating. Edible orchids are rare, nice to see them in my bowl. Can’t wait to go back!!!!! One recommendation is to serve a good Japanese beer.
14;Karen Zhao;29/06/18;5;1;I'll make this easy: The tonkotsu broth is amazing. You will get addicted. I didn't get the mango cheesecake but the customer next to me stated the only mango flavor is from the two small mango pieces.
16;Miguel Jiang;02/07/18;5;0;Great service, plus I really like the food
17;C Jay;07/07/18;5;1;"No line ups ... yet!!  Been to the locations in downtown Toronto & Ottawa where there's always a line. Must be because of the weather and the word hasn't got out that Sansotei has arrived in Mississauga!! I had the Tonkotsu with thin noodles. Love this place for their creamy, superbly prepared and flavour packed broth, and you get both halves of a perfectly cooked egg. Charsu is tasty too. I've been to the local Kenzo for many years, and have given up many times because of the ridiculous wait. Glad this small place is here, just inside the vestibule for Door 9 @ Sq1, between Walmart & Simons. Tonkotsu Comparisons: Broth ... It's Sansotei by a Korean cold buckwheat noodle mile, even though I always greedily finish every last drop of Kenzo broth of my and my children's bowls; Noodles ... Sansotei for its preferable toothy texture and choice of thin or thick noodles; Charsu ... Kenzo for its pure porkiness eaten with the minced garlic garnish; Egg ... Sansotei as 2 halves are better than 1; vegetables ... it's black fungus at this place vs. Shanghai bokchoy for Kenzo.  Went in at 2pm on a weekday in the middle of a heatwave!! AC wasn't functioning well that day.  I love my ramen. My experience of service was friendly, efficient & helpful. Haven't tried the Mississauga Kinton yet ... I tried but the lineup turned me off, after trying to find paid street parking."
18;Harry Sakata;08/07/18;5;0;Very clean restaurant with delicious food and friendly service. Their zangi is especially amazing!
19;Kevin Chow;08/07/18;1;2;Will not come back. Bad service / management and really slow kitchen (you can watch through the window yourself). Longer than usual wait times made worse by bad line management (came Sunday around 2pm). The experience ruined what otherwise was an okay ramen bowl, slightly too salty though. Stick to the ramen places in the east end / downtown, this place isn't up to par with the others. Am dissapointed that there is still no great ramen place in sauga. Problems may be due to new staff, but no management seemed to be present trying to run the business as it should for a new place. Also they don't have the proper soup takeout containers for noodles (isn't this a noodle place?!?)... only had small styrofoam boxes.
20;He Siya;10/07/18;4;0;Finally got Sansotei in Mississauga!! The ramen is a little bit salty but tasty. The new location’s environment is great, decoration is good.
22;Regina Wong;11/07/18;3;0;I went back for a second time today and ordered the Tomato Ramen and a side of Zangi.  The portions were better today, where I received a decent amount of noodles (first time I walked out hungry due to the fact that my bowl of ramen barely had any noodles).  The Zangi was a good price of only $4.  (I intentionally ordered the Zangi side dish because from the first experience, I thought I would receive a skimpy portion of noodles). When I walked in, I was a bit annoyed the server was going to squish me into a small obscure corner table where I would've had a difficult time getting into the seat without bumping into the customer that was sitting at the table over.  I immediately asked for a different table. Will leave the rating at three stars for now... I ordered the Tonkatsu Black.  I added an egg not realizing an egg already came with it. Small serving, so quite pricy for the size., Only two small slices of pork, very little toppings. Good flavour though, I tried to drink all the broth.  Was very thirsty after.  Very nice cozy resto, and very good service and fast.  Only the mango cheesecake was available today, but more dessert selections will be added to the menu eventually.  Still like Kenzo Ramen the best. The three star is for the small serving to high price ratio.
23;Joanna Viv;12/07/18;1;1;I regret spending my money on this Ramen. I would forgive the tight space but the food was just bad. 🤮 Noodles remained hard tastes like plastic (which we asked if they are made fresh, and were told they are, why lie). The broth tasted so artificial. The pork toppings was so chewy, dry and not fresh. If this is the first Ramen I tasted in my whole life I would probably not eat any kind of Ramen again. As soon as you look at the kitchen staff you can see they’re noobs. I don’t know how the owners approved the taste. Maybe they should go and learn from Kenzo ramen in Mississauga. (Specifically the one in Mississauga). We simply couldn’t finish eating it
24;Ricky Lo;12/07/18;5;0;Great service and the ramen is on par with other locations. Best ramen place in Mississauga so far!
25;Kevin Ko;13/07/18;4;0;Went with my family at 6:50pm and only had a 10 minute wait (any later and it would get busy). We each had different ramen: Shoyu, Tomato and Tonkatsu. Noodles and broth were great, but the Shrimp in the Tomato Ramen was a bit mushy. Ramen costs about $12 to $12.75. Service was prompt and friendly.
26;Guagua FoodLover;13/07/18;2;2;(Translated by Google) Not to mention the bad food, the service is not good. There are several empty tables when waiting for a seat, and guests are not allowed to sit for a long time
